region,crime,police,bullying,
Hokkaido,"23,607","10,672","24,041",
Aomori,"3,488","2,329","6,320",
Iwate,"3,063","2,143","8,004",
Miyagi,"12,979","3,783","16,844",
Akita,"2,162","1,998","4,423",
Yamagata,"3,275","2,007","12,943",
Fukushima,"9,416","3,476","8,534",
Ibaraki,"20,312","4,826","28,191",
Tochigi,"11,155","3,463","6,003",
Gunma,"11,699","3,490","5,125",
Saitama,"55,497","11,720","23,261",
Chiba,"41,793","11,481","52,850",
Tokyo,"104,664","44,800","65,358",
Kanagawa,"41,780","15,623","29,188",
Niigata,"10,743","4,224","20,390",
Toyama,"4,508","1,958","1,760",
Ishikawa,"4,508","2,011","2,294",
Fukui,"3,132","1,757","1,483",
Yamanashi,"3,985","1,677","7,967",
Nagano,"8,504","3,517","10,198",
Gifu,"12,857","3,561","10,962",
Shizuoka,"17,876","6,255","14,345",
Aichi,"49,956","13,597","29,624",
Mie,"10,322","3,095","3,544",
Shiga,"6,771","2,315","7,853",
Kyoto,"15,136","6,622","22,429",
Osaka,"84,672","21,712","43,911",
Hyogo,"40,395","11,754","23,123",
Nara,"6,616","2,480","8,119",
Wakayama,"4,363","2,200","6,415",
Tottori,"2,029","1,238","2,206",
Shimane,"2,310","1,528","2,607",
Okayama,"9,436","3,586","3,830",
Hiroshima,"14,160","5,170","7,040",
Yamaguchi,"5,196","3,164","4,406",
Tokushima,"3,111","1,572","2,768",
Kagawa,"4,962","1,863","3,190",
Ehime,"7,446","2,480","2,372",
Kouchi,"3,562","1,629","3,855",
Fukuoka,"34,520","11,226","12,143",
Shiga,"3,400","1,722","1,337",
Nagasaki,"3,394","3,109","2,879",
Kumamoto,"6,498","3,096","6,539",
Oita,"3,018","2,088","11,407",
Miyazaki,"3,993","2,020","15,171",
Kagoshima,"5,776","3,054","10,349",
Okinawa,"6,514","2,772","14,895",
